Date,Close/Last,Volume,Open,High,Low
08/23/2019,$51.3276,16080388,$52.1004,$52.1648,$49.9752
08/22/2019,$52.7444,8521733,$52.68,$53.5173,$52.2292
08/21/2019,$52.5512,10663135,$53.8393,$54.6121,$52.4224
08/20/2019,$53.9681,12793475,$55.2561,$55.3849,$53.6461
08/19/2019,$55.8357,13954700,$57.1881,$57.2525,$55.4493
08/16/2019,$56.6085,31110450,$54.1613,$56.6729,$53.9037
08/15/2019,$51.5852,50131088,$54.9985,$55.5459,$49.2668
08/14/2019,$58.1541,11149329,$59.5066,$59.893,$57.7033
08/13/2019,$60.215,9271570,$59.4422,$61.7284,$59.3134
08/12/2019,$58.2829,8196868,$58.2185,$58.5405,$57.6389
08/09/2019,$58.9269,9590103,$60.9878,$61.0522,$58.7337
08/08/2019,$61.1166,6175826,$61.2454,$61.342,$60.0218
08/07/2019,$60.9234,9598795,$60.7946,$60.9878,$59.4422
08/06/2019,$61.6318,8299726,$62.5334,$62.791,$61.0522
08/05/2019,$62.2114,8780399,$63.0486,$63.1774,$61.8894
08/02/2019,$64.401,8037049,$64.4654,$64.9137,$63.2418
08/01/2019,$64.9162,10990211,$66.7839,$67.5245,$64.2722
07/31/2019,$67.2991,21559263,$69.2955,$69.4887,$64.723
07/30/2019,$67.7499,5664309,$66.9127,$68.1363,$66.2043
07/29/2019,$66.8483,4671171,$67.6211,$68.1363,$66.8483
07/26/2019,$67.6855,3376981,$67.4279,$67.9431,$66.9449
07/25/2019,$67.1703,5765131,$68.4583,$68.7159,$66.7195
07/24/2019,$68.7803,5612189,$68.1363,$68.9091,$67.8787
07/23/2019,$68.5871,9287291,$66.2043,$68.7803,$66.1399
07/22/2019,$65.7535,5416628,$64.723,$65.8823,$64.723
07/19/2019,$64.6586,4331740,$64.9162,$65.6247,$64.5942
07/18/2019,$64.7874,5644808,$64.4654,$65.6247,$64.1434
07/17/2019,$64.2722,6710370,$66.7839,$66.7839,$64.2722
07/16/2019,$66.8483,4941644,$65.8823,$66.9771,$65.7535
07/15/2019,$66.1399,5261883,$66.0111,$66.5907,$65.6569
07/12/2019,$66.7839,4899435,$65.5603,$66.9127,$65.3026
07/11/2019,$65.1094,4208756,$65.8179,$66.3975,$65.045
07/10/2019,$65.6891,4887710,$66.2687,$67.1703,$65.5603
